City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,San Ramon,US,2022-05-12 20:33:23,37.7799,-121.978,69.49,48,75,13.8
243,Hvide Sande,DK,2022-05-12 20:33:23,56.0045,8.1294,50.09,85,30,17.94
244,Iskateley,RU,2022-05-12 20:33:24,67.6803,53.1512,40.19,99,100,9.17
245,Krasnyy Chikoy,RU,2022-05-12 20:33:24,50.3643,108.7512,33.24,80,19,3.04
246,Whitehorse,CA,2022-05-12 20:32:29,60.7161,-135.0538,48.97,40,75,2.3
247,Ketchikan,US,2022-05-12 20:30:56,55.3422,-131.6461,48.67,71,100,6.91
248,Quarai,BR,2022-05-12 20:33:24,-30.3875,-56.4514,56.41,78,2,7.65
249,Victoria,HK,2022-05-12 20:29:40,22.2855,114.1577,78.94,97,100,1.01
250,Yenagoa,NG,2022-05-12 20:33:25,4.9247,6.2642,77.58,91,8,4.36
251,Saint-Junien,FR,2022-05-12 20:33:25,45.8833,0.9,63.18,97,100,1.59
252,Saint George,US,2022-05-12 20:33:25,37.1041,-113.5841,70.79,19,0,4.61
253,Potiskum,NG,2022-05-12 20:33:26,11.7091,11.0694,89.85,39,64,7.58
254,Morgan City,US,2022-05-12 20:33:26,29.6994,-91.2068,90.0,61,92,4.65
255,Marsa Matruh,EG,2022-05-12 20:33:27,31.3525,27.2453,62.8,82,40,3.44
256,Alexandria,EG,2022-05-12 20:30:43,31.2156,29.9553,66.16,72,0,10.36
257,Olafsvik,IS,2022-05-12 20:33:24,64.8945,-23.7142,35.69,73,96,28.25
258,Coihaique,CL,2022-05-12 20:31:08,-45.5752,-72.0662,47.01,93,75,0.0
259,Zdvinsk,RU,2022-05-12 20:33:27,54.7021,78.661,55.22,29,99,1.88
260,Lovozero,RU,2022-05-12 20:33:27,68.005,35.0117,37.49,87,80,2.66
261,Mehamn,NO,2022-05-12 20:33:28,71.0357,27.8492,37.31,93,97,25.52
262,Awjilah,LY,2022-05-12 20:33:28,29.1081,21.2869,71.11,64,7,7.76
263,Saint-Pierre,RE,2022-05-12 20:33:29,-21.3393,55.4781,71.91,73,75,6.91
264,Longyearbyen,SJ,2022-05-12 20:33:29,78.2186,15.6401,19.24,58,0,13.8
265,Lodja,CD,2022-05-12 20:33:29,-3.4833,23.4333,73.67,86,64,0.34
266,Saldanha,ZA,2022-05-12 20:33:30,-33.0117,17.9442,50.05,75,84,7.09
267,Marawi,PH,2022-05-12 20:33:30,7.9986,124.2928,70.41,93,100,2.68
268,Odweyne,SO,2022-05-12 20:33:30,9.4092,45.064,80.92,28,29,7.16
269,Trofors,NO,2022-05-12 20:33:31,65.5333,13.4063,42.67,99,100,6.87
270,Kavieng,PG,2022-05-12 20:29:18,-2.5744,150.7967,81.52,73,100,8.55
271,Zhigansk,RU,2022-05-12 20:33:31,66.7697,123.3711,31.44,93,92,10.56
272,San Joaquin,US,2022-05-12 20:33:32,37.9333,-121.3011,71.2,29,0,11.5
273,Clyde River,CA,2022-05-12 20:33:32,70.4692,-68.5914,28.63,64,0,12.66
274,Port Lincoln,AU,2022-05-12 20:33:32,-34.7333,135.8667,59.32,79,100,10.13
275,Bourail,NC,2022-05-12 20:33:33,-21.5667,165.4833,71.92,64,100,12.33
276,Tianpeng,CN,2022-05-12 20:34:33,30.9866,103.9393,70.27,90,100,2.73
277,Cidreira,BR,2022-05-12 20:34:33,-30.1811,-50.2056,59.7,79,14,8.95
278,Kailua,US,2022-05-12 20:34:34,21.4022,-157.7394,82.38,64,40,10.36
279,Samarai,PG,2022-05-12 20:31:53,-10.6167,150.6667,81.59,78,98,6.15
280,Ligayan,PH,2022-05-12 20:34:34,4.6533,119.4706,83.52,75,100,7.0
281,Najran,SA,2022-05-12 20:34:35,17.4924,44.1277,81.25,17,0,2.95
282,Anadyr,RU,2022-05-12 20:34:35,64.75,177.4833,36.1,69,0,13.42
283,Margate,GB,2022-05-12 20:30:31,51.3813,1.3862,55.69,74,22,4.0
284,Honiara,SB,2022-05-12 20:34:35,-9.4333,159.95,79.66,78,98,1.45
285,Lavrentiya,RU,2022-05-12 20:34:36,65.5833,-171.0,30.45,80,8,7.72
286,Makakilo City,US,2022-05-12 20:34:36,21.3469,-158.0858,80.92,55,40,14.97
287,Bolshaya Martynovka,RU,2022-05-12 20:34:36,47.271,41.6679,53.04,58,48,14.85
288,Matagami,CA,2022-05-12 20:30:31,49.7502,-77.6328,57.31,94,100,6.91
289,Altay,CN,2022-05-12 20:34:37,47.8667,88.1167,50.83,34,0,7.58
290,Naze,JP,2022-05-12 20:34:37,28.3667,129.4833,72.52,88,82,13.2
291,Terney,RU,2022-05-12 20:34:38,45.0503,136.6092,50.11,62,100,3.22
292,Prainha,BR,2022-05-12 20:34:38,-1.8,-53.48,79.11,89,75,4.25
293,Salinopolis,BR,2022-05-12 20:34:38,-0.6136,-47.3561,78.89,86,77,6.31
